date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:21:33	391/391	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:22%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/jg.src	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/jg.src	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:34	395/395	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:23%20GMT	https://innovationplans.com/idesign/avo2/avo-dark/jg.src	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/jg.src	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:35	391/391	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:24%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/jg.src	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/jg.src	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:36	395/395	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:25%20GMT	https://innovationplans.com/idesign/avo2/avo-dark/jg.src	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/jg.src	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:38	393/393	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:26%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/Trident/	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/Trident/index.html	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:38	390/390	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:27%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/Edge/	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/Edge/index.html	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:38	393/393	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:27%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/Firefox/	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/Firefox/index.html	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:38	391/391	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:27%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/Gecko/	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/Gecko/index.html	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:38	393/393	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2012%20Jul%202021%2017:48:27%20GMT	http://innovationplans.com/idesign/avo2/avo-dark/Version/	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/Version/index.html	(from http://innovationplans.com/idesign/avo2/avo-dark/js/plugins.js)
23:21:39	1178/1178	---M--	200	added ('OK')	image/png	etag:%2249a-5af8b415d8862%22	http://innovationplans.com/idesign/avo2/avo-dark/img/logo-dark.png	C:/Users/DELL/Desktop/New%20folder%20(3)/royal/innovationplans.com/idesign/avo2/avo-dark/img/logo-dark.png	(from http://innovationplans.com/idesign/avo2/avo-dark/js/scripts.js)
